2026-01-27 15:13:30,403 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:13:30,409 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:13:40,468 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:13:40,472 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:13:41,385 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:19:06,489 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-27 15:19:06,493 | MainThread   | [INFO    ] | <module>            |: info
2026-01-27 15:19:06,497 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-27 15:19:06,499 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-27 15:19:06,499 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-27 15:29:52,691 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:29:52,694 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:30:02,758 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:30:02,764 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:30:03,650 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:34:07,682 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-27 15:34:07,683 | MainThread   | [INFO    ] | <module>            |: info
2026-01-27 15:34:07,684 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-27 15:34:07,686 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-27 15:34:07,686 | MainThread   | [CRITICAL] | <module>            |: critical
2026-01-27 15:34:12,035 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2026-01-27 15:35:11,642 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-01-27 15:35:11,650 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2026-01-27 15:35:12,209 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2026-01-27 15:35:12,210 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2026-01-27 15:35:28,050 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=11, releaselevel='final', serial=0)
2026-01-27 15:35:28,051 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-26.2-arm64-arm-64bit-Mach-O
